product_name,total_sales,total_quantity
DOTCOM POSTAGE,206248.77,708
REGENCY CAKESTAND 3 TIER,174156.54,13862
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
WHITE HANGING HEART T-LIGHT HOLDER,106236.72,37876
PARTY BUNTING,99445.23,18287
JUMBO BAG RED RETROSPOT,94159.81,48375
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033
POSTAGE,78101.88,3150
Manual,77752.82,6991
RABBIT NIGHT LIGHT,66870.03,30739
PAPER CHAIN KIT 50'S CHRISTMAS,64875.590000000004,19329
ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362
CHILLI LIGHTS,54096.36,10305
SPOTTY BUNTING,42513.48,8491
JUMBO BAG PINK POLKADOT,42401.01,21448
BLACK RECORD COVER FRAME,40633.38,11651
PICNIC BASKET WICKER 60 PIECES,39619.5,61
DOORMAT KEEP CALM AND COME IN,38133.64,5487
SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483
JAM MAKING SET WITH JARS,37082.13,8706
WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012
LUNCH BAG RED RETROSPOT,35572.36,19232
POPCORN HOLDER,34288.67,36749
VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275
HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5741
PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.840000000004,10594
CHOCOLATE HOT WATER BOTTLE,32826.58,6018
JUMBO BAG STRAWBERRY,32727.65,17286
HEART OF WICKER SMALL,32094.6,17963
SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345
JUMBO STORAGE BAG SUKI,30764.010000000002,13651
ALARM CLOCK BAKELIKE RED,30644.87,7800
JUMBO BAG APPLES,30450.690000000002,14908
HEART OF WICKER LARGE,30098.110000000004,9888
CHARLOTTE BAG SUKI DESIGN,29254.15,18124
ROSES REGENCY TEACUP AND SAUCER,29056.920000000002,9865
HOT WATER BOTTLE KEEP CALM,28718.8,5816
JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574
DOORMAT RED RETROSPOT,28049.54,4089
JUMBO  BAG BAROQUE BLACK WHITE,28047.74,13900
NATURAL SLATE HEART CHALKBOARD,27991.610000000004,9119
JUMBO BAG ALPHABET,27850.83,13366
ALARM CLOCK BAKELIKE GREEN,27155.28,6419
ROTATING SILVER ANGELS T-LIGHT HLDR,26425.579999999998,9461
RED  HARMONICA IN BOX,26294.08,21903
RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8290
GIN + TONIC DIET METAL SIGN,25792.47,11709
SPACEBOY LUNCH BOX,25719.02,14249
JAM MAKING SET PRINTED,25637.78,16396
DOORMAT UNION FLAG,25534.15,3751
PLEASE ONE PERSON METAL SIGN,25225.480000000003,12274
REGENCY TEAPOT ROSES,24879.13,2766
VINTAGE UNION JACK BUNTING,24525.83,2787
JUMBO BAG VINTAGE DOILY,24489.08,11448
SCOTTIE DOG HOT WATER BOTTLE,24455.39,4655
SET OF 6 SPICE TINS PANTRY DESIGN,24436.260000000002,5966
ROUND SNACK BOXES SET OF4 WOODLAND,24364.870000000003,8535
BAKING SET 9 PIECE RETROSPOT,24185.27,4937
DOORMAT NEW ENGLAND,24108.39,3807
RED TOADSTOOL LED NIGHT LIGHT,23919.78,14001
DOORMAT FAIRY CAKE,23872.91,3615
JUMBO BAG 50'S CHRISTMAS,23772.07,10285
EDWARDIAN PARASOL NATURAL,23737.97,4077
SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800
CREAM HEART CARD HOLDER,23435.82,8284
RED HANGING HEART T-LIGHT HOLDER,23199.24,7872
JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006
WOODEN PICTURE FRAME WHITE FINISH,23057.06,8986
JUMBO BAG OWLS,23001.06,11429
VINTAGE UNION JACK MEMOBOARD,22980.239999999998,3269
RETROSPOT TEA SET CERAMIC 11 PC,22868.260000000002,4518
PAPER BUNTING RETROSPOT,22785.06,7586
GREEN REGENCY TEACUP AND SAUCER,22755.5,7280
CREAM SWEETHEART MINI CHEST,22594.2,1784
LUNCH BAG  BLACK SKULL.,22346.96,12195
DOORMAT HEARTS,22114.42,3418
